source_sentence_en	target_sentence	source_lang	target_lang	translations	source_sentence_mt-translated_fr	source_sentence_mt-translated_mt-translated
Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits.	Selv når man står midt i tusind år gamle ruiner, er det nemt at tænke på lydene og lugtene fra slag, der fandt sted for længe siden, næsten at høre lydene fra hove på brostenene og lugte frygten, der kommer op fra fangehullerne.	eng_Latn	dan_Latn	 Selv når man står midt i tusind år gamle ruiner, er det nemt at fremkalde lydene og lugtene fra kampe, der for længst er forbi, at næsten høre lyden af hove på brostenene og at lugte frygten, der stiger op fra fangekælderens huller.	Même debout au milieu des ruines millénaires, il est facile de se rappeler les sons et les odeurs des batailles qui ont disparu depuis longtemps, d'entendre presque les claquements de sabots sur les pavés et de sentir la peur qui s'élève des fosses du donjon.	Selv når man står midt i de tusindårige ruiner, er det let at huske lydene og lugtene fra de slag, der for længst er forsvundet, næsten høre hovslagene mod brostenene og mærke frygten, der stiger op fra fangehullets dyb.
Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe.	Tyrkiets landområde, inklusive søer, er på 783.562 kvadratkilometer (300.948 kvadratmil), hvoraf 755.688 kvadratkilometer (291.773 kvadratmil) ligger i Sydvestasien og 23.764 kvadratkilometer (9.174 kvadratmil) ligger i Europa.	eng_Latn	dan_Latn	 Tyrkiets område, inklusive søer, udgør 783.562 kvadratkilometer, hvoraf 755.688 kvadratkilometer ligger i det sydvestlige Asien og 23.764 kvadratkilometer i Europa.	La superficie de la Turquie, y compris les lacs, occupe 783 562 kilomètres carrés (300 948 milles carrés), dont 755 688 kilomètres carrés (291 773 milles carrés) se trouvent en Asie du Sud-Ouest et 23 764 kilomètres carrés (9 174 milles carrés) en Europe.	Tyrkiets areal, inklusive søer, udgør 783.562 kvadratkilometer (300.948 kvadratmil), hvoraf 755.688 kvadratkilometer (291.773 kvadratmil) ligger i Sydvestasien og 23.764 kvadratkilometer (9.174 kvadratmil) i Europa.
"Sikhs call their religion Gurmat, which is Punjabi for ""way of the guru"". The guru is a fundamental aspect of all Indian religions but in Sikhism has taken on an importance that forms the core of Sikh beliefs."	"Sikher kalder deres religion for Gurmat, som på punjabi betyder ""guruens vej"". Guruen er et grundlæggende element i alle indiske religioner, men er i sikhisme blevet tillagt en betydning som danner grundstenen i sikhernes tro."	eng_Latn	dan_Latn	" Sikher kalder deres religion for Gurmat, som er punjabi for ""guruens vej"". Guruen er et fundamentalt aspekt af alle indiske religioner, men i sikhismen har det fået en betydning, som udgør kernen i sikhismens tro."	"Les sikhs appellent leur religion Gurmat, qui est le Pendjabi pour ""la voie du gourou"". Le gourou est un aspect fondamental de toutes les religions indiennes, mais dans le sikhisme a pris une importance qui forme le noyau des croyances sikhs."	"Sikherne kalder deres religion Gurmat, som er punjabi for ""guruens vej"". Guruen er et grundlæggende aspekt af alle indiske religioner, men i sikhismen har den fået en betydning, der udgør kernen i sikhernes tro."
“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.	"""Det vil bevæge sig henover vestkysten i det nordlige Californien og vil oplyse himlen fra Californien gennem det centrale Oregon og videre gennem Nevada og Idaho samt ind i Utah."" fortalte Tom Duxbury, Stardusts projektchef."	eng_Latn	dan_Latn	" ""Det vil bevæge sig over vestkysten af det nordlige Californien og vil oplyse himlen fra Californien gennem det centrale Oregon og videre gennem Nevada og Idaho og ind i Utah"", sagde Tom Duxbury, Stardusts projektleder."	Il se déplacera sur la côte ouest de la Californie du Nord et il éclairera le ciel de la Californie à travers le centre de l'Oregon et à travers le Nevada et l'Idaho et vers l'Utah, a déclaré Tom Duxbury, le directeur de projet de Stardust.	Han vil bevæge sig langs den nordlige Californiens vestkyst og oplyse himlen over Californien gennem det centrale Oregon og gennem Nevada og Idaho og mod Utah, sagde Tom Duxbury, projektlederen for Stardust.
There is also no requirement that you obtain a local number from the community in which you live; you can obtain a satellite Internet connection in the wilds of Chicken, Alaska and select a number which claims you're in sunny Arizona.	Der er heller intet krav om, at du indhenter et lokal nummer fra lokalsamfundet hvor du lever; du kan anskaffe en satellit internetforbindelse i Chicken, Alaska, og vælge et nummer der hævder at du bor i det solrige Arizona.	eng_Latn	dan_Latn	 Der er heller ikke noget krav om, at du skal have et lokalt nummer fra det samfund, hvor du bor; du kan få en satellitinternetforbindelse i vildmarken i Chicken, Alaska og vælge et nummer, der hævder, at du er i solrige Arizona.	Il n'y a pas non plus d'exigence que vous obteniez un numéro local de la communauté dans laquelle vous vivez; vous pouvez obtenir une connexion Internet satellite dans la nature de Chicken, en Alaska et sélectionner un numéro qui prétend que vous êtes dans l'Arizona ensoleillée.	Der er heller ikke noget krav om, at du skal få et lokalt nummer fra det samfund, du bor i; du kan få en satellitinternetforbindelse i ødemarken i Chicken, Alaska, og vælge et nummer, der hævder, at du er i solrige Arizona.
Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.	Fred er den heftigste tropiske cyklon, der nogensinde er blevet registreret så sydligt og østligt i Atlanterhavet, siden man begyndte at bruge satellitbilleder, og kun den tredje store orkan, der er registreret øst for 35°V.	eng_Latn	dan_Latn	 Fred er den stærkeste tropiske cyklon, der nogensinde er registreret så langt syd og øst i Atlanterhavet siden satellitbilledernes begyndelse, og kun den tredje store orkan øst for 35°W.	Fred est le cyclone tropical le plus puissant jamais enregistré jusqu'ici au sud et à l'est de l'Atlantique depuis l'avènement de l'imagerie satellite, et seul le troisième ouragan majeur enregistré à l'est de 35°O.	Fred er den mest kraftfulde tropiske cyklon nogensinde registreret syd og øst for Atlanterhavet siden fremkomsten af satellitbilleder, og kun den tredje store orkan registreret øst for 35°V.
Yesterday, the post office released their apology to citizens and the media after discovering that the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients.	I går udgav postvæsenet deres undskyldning til borgerne og medierne, efter det blev opdaget at drengen havde skjult mere end 600 postdokumenter, herunder 429 nytårspostkort, som ikke blev leveret til de tilsigtede modtagere.	eng_Latn	dan_Latn	 I går udsendte postvæsenet en undskyldning til borgere og medier, efter at det blev opdaget, at drengen havde gemt mere end 600 postdokumenter, herunder 429 nytårskort, som ikke blev leveret til de tiltænkte modtagere.	Hier, le bureau de poste a présenté ses excuses aux citoyens et aux médias après avoir découvert que le garçon avait caché plus de 600 documents postaux, dont 429 cartes postales du Nouvel An, qui n'ont pas été remises à leurs destinataires.	I går undskyldte postkontoret over for borgerne og medierne, efter at det blev opdaget, at drengen havde skjult mere end 600 postdokumenter, herunder 429 nytårskort, som ikke var blevet leveret til deres modtagere.
The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe (MIP), which hurtled across the surface of the Moon at 1.5 kilometres per second (3000 miles per hour), and successfully crash landed near the Moon's south pole.	Den ubemandede månesonde, Chandrayaan-1, skød sin Moon Impact Probe (MIP) ud, som fløj hen ad månens overflade med 1,5 kilometer i sekundet (3000 mil i timen), og det lykkedes den at styrte ned i nærheden af Månens sydpol.	eng_Latn	dan_Latn	 Den ubemandede måneorbiter Chandrayaan-1 udsendte sin Moon Impact Probe (MIP), som susede hen over Månens overflade med 1,5 kilometer per sekund (3000 miles per hour), og landede med succes nær Månens sydpol.	L'orbiteur lunaire sans pilote Chandrayaan-1 a éjecté sa sonde d'impact de la Lune (MIP), qui a percuté la surface de la Lune à 1,5 km/s (3000 milles/h) et s'est écrasée avec succès près du pôle sud de la Lune.	Den ubemandede måneorbiter Chandrayaan-1 udstødte sin måne-nedslagsprobe (MIP), som ramte månens overflade med 1,5 km/s (3000 miles/t) og med succes styrtede ned nær månens sydpol.
Travel agencies have been around since the 19th century. A travel agent is usually a good option for a journey which extends beyond a traveller's previous experience of nature, culture, language or low-income countries.	Rejsebureauer har eksisteret siden det 19. århundrede. En rejseagent er normalt en god måde at finde en rejse på, der strækker sig ud over en rejsendes tidligere erfaringer med natur, kultur, sprog eller lavindkomstlande.	eng_Latn	dan_Latn	 Rejsebureauer har eksisteret siden det 19. århundrede. Et rejsebureau er normalt en god mulighed for en rejse, som strækker sig ud over en rejsendes tidligere erfaring med natur, kultur, sprog eller lavindkomstlande.	Les agences de voyage existent depuis le XIXe siècle. Un agent de voyage est généralement une bonne option pour un voyage qui s'étend au-delà de l'expérience antérieure d'un voyageur de la nature, de la culture, de la langue ou des pays à faible revenu.	Rejsebureauer har eksisteret siden det 19. århundrede. En rejseagent er generelt en god mulighed for en rejse, der strækker sig ud over en rejsendes tidligere erfaring med natur, kultur, sprog eller lavindkomstlande.
Many people dream of the day when humans can travel to another star and explore other worlds, some people wonder what's out there some belive that aliens or other life may live on another plant.	Mange drømmer om dagen, hvor mennesker kan rejse til en anden stjerne og udforske andre verdener. Nogle spekulerer over, hvad der er derude, og nogle tror på, at rumvæsener eller andet liv måske lever på en anden planet.	eng_Latn	dan_Latn	 Mange mennesker drømmer om den dag, hvor mennesker kan rejse til en anden stjerne og udforske andre verdener, nogle mennesker spekulerer på, hvad der er derude, nogle tror, at aliens eller andet liv kan leve på en anden planet.	Beaucoup de gens rêvent du jour où les humains peuvent voyager vers une autre étoile et explorer d'autres mondes, certains se demandent ce qu'il y a là-bas que des extraterrestres ou d'autres vies peuvent vivre sur une autre plante.	Mange mennesker drømmer om den dag, hvor mennesker kan rejse til en anden stjerne og udforske andre verdener, nogle spekulerer på, hvad der er derude, om der er rumvæsener eller andet liv, der kan leve på en anden planet.
The translation engines have improved dramatically, and now often give more or less correct translations (and more seldom gibberish), but some care is due, as they still may have gotten it all wrong.	Oversættelsesmaskinerne er blevet meget bedre, og giver nu ofte mere eller mindre korrekte oversættelser (og mere sjældent volapyk), men en vis påpasselighed er nødvendig, da de stadig kan have forstået det helt forkert.	eng_Latn	dan_Latn	 Oversættelsesmaskinerne er blevet dramatisk forbedret, og giver nu ofte mere eller mindre korrekte oversættelser (og sjældnere vrøvl), men man skal stadig være forsigtig, da de stadig kan have fået det hele galt i halsen.	Les moteurs de traduction se sont considérablement améliorés, et maintenant souvent donner plus ou moins de traductions correctes (et plus rarement gibberish), mais un certain soin est dû, car ils peuvent encore avoir obtenu tout faux.	Oversættelsesmotorer er blevet betydeligt forbedret og giver nu ofte mere eller mindre korrekte oversættelser (og sjældnere volapyk), men en vis forsigtighed er nødvendig, da de stadig kan have fået det helt forkert.
The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.	"ACMA opdagede derudover også, at på trods af at videoen blev streamet på internettet, overtrådte ""Big Brother"" ikke lovgivningen om online indholdscensur, da videoen ikke var blevet gemt på ""Big Brother""s hjemmeside."	eng_Latn	dan_Latn	 ACMA fandt også, at på trods af at videoen blev streamet på internettet, havde Big Brother ikke overtrådt censurlovgivningen for online indhold, da medierne ikke var blevet lagret på Big Brothers hjemmeside.	L'ACMA a également constaté que malgré la diffusion de la vidéo sur Internet, Big Brother n'avait pas enfreint les lois sur la censure des contenus en ligne, car les médias n'avaient pas été stockés sur le site Web de Big Brother.	ACMA har også konstateret, at på trods af videoens spredning på internettet, havde Big Brother ikke overtrådt lovene om censur af onlineindhold, da medierne ikke var blevet lagret på Big Brothers hjemmeside.
Canyoning combines elements from swimming, climbing and jumping--but requires relatively little training or physical shape to get started (compared to rock climbing, scuba diving or alpine skiing, for example).	Canyoning kombinerer elementer af svømning, klatring og spring - men det kræver relativt lidt træning eller fysisk form for at komme i gang (sammenlignet med eksempelvis bjergbestigning, dykning eller alpint skiløb).	eng_Latn	dan_Latn	 Canyoning kombinerer elementer fra svømning, klatring og springning - men kræver relativt lidt træning eller fysisk form for at komme i gang (sammenlignet med f.eks. klatring, dykning eller alpint skiløb).	Canyoning combine des éléments de natation, d'escalade et de saut - mais nécessite relativement peu d'entraînement ou de forme physique pour commencer (par rapport à l'escalade, la plongée sous-marine ou le ski alpin, par exemple).	Canyoning kombinerer elementer af svømning, klatring og spring - men kræver relativt lidt træning eller fysisk form for at begynde (sammenlignet med klatring, dykning eller alpint skiløb, for eksempel).
Living and volunteering in a foreign country is a great way to get to know a different culture, meet new people, learn about yourself, get a sense of perspective and even gain new skills.	At bo og lave frivilligt arbejde i et fremmed land, er en fantastisk måde at lære en anden kultur at kende på, møde nye mennesker, lære noget om sig selv, få en fornemmelse for perspektiv og endda få nye færdigheder.	eng_Latn	dan_Latn	 At bo og arbejde som frivillig i et fremmed land er en god måde at lære en anden kultur at kende, møde nye mennesker, lære om sig selv, få en følelse af perspektiv og endda få nye færdigheder.	Vivre et faire du bénévolat dans un pays étranger est un excellent moyen d'apprendre à connaître une culture différente, de rencontrer de nouvelles personnes, d'apprendre sur vous-même, d'avoir un sens de la perspective et même d'acquérir de nouvelles compétences.	At bo og lave frivilligt arbejde i et fremmed land er en fremragende måde at lære en anden kultur at kende, møde nye mennesker, lære om dig selv, få et perspektiv og endda tilegne dig nye færdigheder.
Troops reinforcing the forward positions included the 1st and 3rd New Hampshire regiments of 200 men, under Colonels John Stark and James Reed (both later became generals).	De tropper, der styrkede de forreste positioner, bestod af de to 200 mand store 1. og 3. New Hampshire-regimenter, der blev ledet af obersterne John Stark og James Reed (der efterfølgende blev udnævnt til generaler).	eng_Latn	dan_Latn	 Tropper, der forstærkede de forreste stillinger, omfattede 1. og 3. New Hampshire regiment på 200 mand, under obersterne John Stark og James Reed (som begge senere blev generaler).	Parmi les troupes qui renforçaient les positions avant, on compte les 1er et 3e régiments du New Hampshire de 200 hommes, sous les ordres des colonels John Stark et James Reed (tous deux devinrent plus tard généraux).	Blandt de tropper, der forstærkede de forreste positioner, var de 1. og 3. regimenter fra New Hampshire med 200 mand, under kommando af obersterne John Stark og James Reed (begge blev senere generaler).
For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race.	For eksempel vil børn, der identificeres med en raceminoritet, der stereotypt opfattes som klarende sig dårligt i skolen, klarer sig dårligt i skolen, når de lærer om den stereotyp, der er associeret med deres race.	eng_Latn	dan_Latn	 For eksempel har børn, der identificerer sig med en racemæssig minoritet, der er stereotyp som ikke klarer sig godt i skolen, en tendens til ikke at klare sig godt i skolen, når de lærer om stereotypen, der er forbundet med deres race.	Par exemple, les enfants qui s'identifient avec une minorité raciale qui est stéréotypée comme ne se porte pas bien à l'école ont tendance à ne pas se porter bien à l'école une fois qu'ils ont appris le stéréotype associé à leur race.	For eksempel har børn, der identificerer sig med en raceminoritet, som er stereotypiseret som ikke klarer sig godt i skolen, en tendens til ikke at klare sig godt i skolen, når de først har lært den stereotype, der er forbundet med deres race.
The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.	Den 26. november 2008 ankom angrebsmændene til Mumbai med båd. De bar granater og automatvåben og ramte flere mål, herunder den overfyldte jernbanestation Chhatrapati Shivaji Terminus og det berømte Taj Mahal Hotel.	eng_Latn	dan_Latn	 Mumbai angriberne ankom via båd den 26. november 2008, og medbragte granater, automatiske våben og ramte flere mål, herunder den overfyldte Chhatrapati Shivaji Terminus jernbanestation og det berømte Taj Mahal Hotel.	Les assaillants de Mumbai sont arrivés par bateau le 26 novembre 2008 avec des grenades, des armes automatiques et des cibles multiples, dont la gare de Chhatrapati Shivaji Terminus, surpeuplée, et le célèbre Hôtel Taj Mahal.	Angriberne i Mumbai ankom med båd den 26. november 2008 med granater, automatiske våben og flere mål, herunder den overfyldte Chhatrapati Shivaji Terminus-station og det berømte Taj Mahal Hotel.
Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets.	Australiens tidligere konservative regering nægtede at ratificere Kyoto og sagde, at det ville skade økonomien som i høj grad er afhængig af kuleksport, mens lande som Indien og Kina ikke var bundet af emissionsmål.	eng_Latn	dan_Latn	 Australiens tidligere konservative regering nægtede at ratificere Kyoto, idet den sagde, at det ville skade økonomien med dens store afhængighed af kul-eksport, mens lande som Indien og Kina ikke var bundet af emissionsmål.	L'ancien gouvernement conservateur australien a refusé de ratifier Kyoto, affirmant qu'il porterait préjudice à l'économie en se fiant fortement aux exportations de charbon, tandis que des pays comme l'Inde et la Chine n'étaient pas liés par des objectifs d'émissions.	Den tidligere konservative australske regering nægtede at ratificere Kyoto, idet den hævdede, at det ville skade økonomien ved at stole stærkt på kul-eksport, mens lande som Indien og Kina ikke var bundet af emissionsmål.
Tomb of Tutankhamun (KV62). KV62 may be the most famous of the tombs in the Valley, the scene of Howard Carter's 1922 discovery of the almost intact royal burial of the young king.	Tutankhamuns grav (KV62). KV62 er muligvis den mest berømte af alle gravene i dalen, da den var stedet for Howard Carters opdagelse i 1922 af den næsten perfekte vedligeholdelse af den unge konges royale begravelse.	eng_Latn	dan_Latn	 Tutankhamons grav (KV62). KV62 er måske den mest berømte af gravene i dalen, hvor Howard Carters opdagelse af den næsten intakte kongelige begravelse af den unge konge fandt sted i 1922.	Tombeau de Toutankhamun (KV62). KV62 peut être le plus célèbre des tombeaux de la vallée, la scène de la découverte par Howard Carter 1922 de l'enterrement royal presque intact du jeune roi.	Tombeau de Tutankhamon (KV62). KV62 kan være den mest berømte af gravene i dalen, stedet for opdagelsen af Howard Carter i 1922 af den næsten intakte kongelige begravelse af den unge konge.
News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.	Mens mindehøjtideligheder for Jeff Weise og tre af de ni ofre blev afholdt i dag, spredte nyheden om, at endnu en elev var blevet anholdt i forbindelse med skoleskyderiet d. 21. marts, sig i Red Lakes lokalsamfund.	eng_Latn	dan_Latn	 Nyheden spredte sig i Red Lake-samfundet i dag, da der blev afholdt begravelser for Jeff Weise og tre af de ni ofre, og at en anden studerende blev arresteret i forbindelse med skoleskyderiet den 21. marts.	Les nouvelles se répandirent dans la communauté de Red Lake aujourd'hui comme funérailles pour Jeff Weise et trois des neuf victimes ont été détenues qu'un autre élève a été arrêté dans le cadre des fusillades de l'école du 21 mars.	Nyhederne spredte sig i Red Lake-samfundet i dag, da begravelserne for Jeff Weise og tre af de ni ofre blev afholdt, og en anden elev blev arresteret i forbindelse med skoleskyderierne den 21. marts.
Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.	Dit hotel eller dine værter (hvis du bor i et gæstehus eller privat hjem) vil sandsynligvis have wi-fi eller en computer med internetforbindelse, og alle byer har en internetcafé eller et sted med offentligt wi-fi.	eng_Latn	dan_Latn	 Dit hotel eller værter (hvis du bor i et gæstehus eller privat hjem) vil sandsynligvis have wifi eller en internetforbundet PC, og alle bosættelser har en internetcafé eller et sted med offentlig wifi.	Votre hôtel ou vos hôtes (si vous séjournez dans une maison d'hôtes ou une maison privée) auront probablement wifi ou un PC connecté à Internet, et tous les établissements disposent d'un cybercafé ou d'un emplacement avec wifi public.	Dit hotel eller dine værter (hvis du bor i et gæstehus eller en privat bolig) har sandsynligvis wifi eller en pc med internetforbindelse, og alle steder har en internetcafé eller et sted med offentlig wifi.
Children with ADD have a hard time focusing on things like school work, but they can concentrate on things they enjoy doing like playing games or watching their favorite cartoons or writing sentences without punctuation.	Børn med ADD har svært ved at fokusere på ting som skolearbejde, men de kan godt koncentrere sig om ting de godt kan lide såsom at spille spil, se deres yndlingstegneserier eller skrive sætninger uden tegnsætning.	eng_Latn	dan_Latn	 Børn med ADD har svært ved at fokusere på ting som skolearbejde, men de kan koncentrere sig om ting, de nyder at gøre, som at spille spil eller se deres yndlingstegnefilm eller skrive sætninger uden tegnsætning.	Les enfants avec ADD ont du mal à se concentrer sur des choses comme le travail scolaire, mais ils peuvent se concentrer sur des choses qu'ils aiment faire comme jouer des jeux ou regarder leurs dessins animés préférés ou écrire des phrases sans ponctuation.	Børn med ADD har svært ved at koncentrere sig om ting som skolearbejde, men de kan koncentrere sig om ting, de kan lide at lave, som at spille spil eller se deres yndlingstegnefilm eller skrive sætninger uden tegnsætning.
Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.	Længe før The Daily Show og The Colbert Report, nemlig da de var studerende ved University of Washington i 1988, forestillede Heck og Johnson sig et program, der ville parodiere nyhederne og nyhedsrapporteringen.	eng_Latn	dan_Latn	 Længe før The Daily Show og The Colbert Report, forestillede Heck og Johnson sig en publikation, der ville parodiere nyhederne - og nyhedsrapporteringen - da de var studerende på UW i 1988.	Bien avant The Daily Show et The Colbert Report, Heck et Johnson envisageaient une publication qui parodierait les nouvelles – et les reportages – lorsqu'ils étaient étudiants à l'UW en 1988.	Længe før The Daily Show og The Colbert Report overvejede Heck og Johnson en publikation, der ville parodiere nyhederne – og reportagerne – da de var studerende på UW i 1988.
Tours are cheaper for larger groups, so if you're by yourself or with just one friend, try to meet other people and form a group of four to six for a better per-person rate.	Ture er billigere for større grupper, så hvis du er alene eller sammen med kun én ven, kan du prøve at mødes med andre mennesker og lave en gruppe på fire til seks personer, så i kan få en bedre pris pr. person.	eng_Latn	dan_Latn	 Ture er billigere for større grupper, så hvis du rejser alene eller med kun en ven, så prøv at møde andre mennesker og dan en gruppe på fire til seks personer for at få en bedre pris per person.	Les visites sont moins chères pour les grands groupes, donc si vous êtes seul ou avec un seul ami, essayez de rencontrer d'autres personnes et de former un groupe de quatre à six pour un meilleur tarif par personne.	Besøg er billigere for store grupper, så hvis du er alene eller kun med en ven, så prøv at møde andre mennesker og danne en gruppe på fire til seks for en bedre pris per person.
"When you travel, expect things not to be like they are ""back home"". Manners, laws, food, traffic, lodging, standards, language and so on will to some extent differ from where you live."	"Når du rejser, skal du forvente at tingene ikke er, som de er ""derhjemme"". Manerer, love og regler, mad, trafik, bosteder, standarder, sprog og så videre vil til en vis grad være forskellige fra der hvor du bor."	eng_Latn	dan_Latn	" Når du rejser, skal du forvente, at tingene ikke er som de er ""derhjemme"". Manerer, love, mad, trafik, logi, standarder, sprog og så videre vil i nogen grad afvige fra, hvor du bor."	Lorsque vous voyagez, attendez-vous à ce que les choses ne soient pas comme si elles étaient «de retour à la maison». Manners, lois, nourriture, trafic, hébergement, normes, langue, etc., diffèrent dans une certaine mesure de l'endroit où vous vivez.	"Når du rejser, skal du forvente, at tingene ikke er som ""derhjemme"". Manerer, love, mad, trafik, indkvartering, standarder, sprog osv. adskiller sig i nogen grad fra det sted, hvor du bor."
Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).	Al Gore og general Tommy Franks opremser nonchalant deres yndlingsoverskrifter (Gores var da The Onion rapporterede, at han og Tipper havde deres livs bedste sex efter hans nederlag i valgmandskollegiet i 2000).	eng_Latn	dan_Latn	 Al Gore og General Tommy Franks nævner i forbifarten deres foretrukne overskrifter (Gores var, da The Onion rapporterede, at han og Tipper havde det bedste sex i deres liv efter hans nederlag i 2000).	Al Gore et le général Tommy Franks s'évanouissent occasionnellement de leurs titres préférés (Gore's était quand l'oignon a rapporté que lui et Tipper avaient le meilleur sexe de leur vie après sa défaite au collège électoral de 2000).	Al Gore og general Tommy Franks nævner lejlighedsvis deres yndlingstitler (Gores var, da The Onion rapporterede, at han og Tipper havde det bedste sex i deres liv efter hans nederlag i valgmandskollegiet i 2000).
Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.	Leslie Aun, en talsmand for Komen Foundation, fortalte, at organisationen adopterede en ny regel, der ikke tillader, at tilskud eller midler bliver tildelt organisationer, som er under juridisk efterforskning.	eng_Latn	dan_Latn	 Leslie Aun, en talsmand for Komen Foundation, sagde, at organisationen vedtog en ny regel, der ikke tillader, at der tildeles tilskud eller finansiering til organisationer, der er under juridisk undersøgelse.	Leslie Aun, porte-parole de la Fondation Komen, a déclaré que l'organisation a adopté une nouvelle règle qui ne permet pas l'octroi de subventions ou de fonds à des organisations faisant l'objet d'une enquête judiciaire.	Leslie Aun, talskvinde for Komen Foundation, erklærede, at organisationen har vedtaget en ny regel, der ikke tillader tildeling af tilskud eller midler til organisationer, der er genstand for en retlig undersøgelse.
Participating countries present artistic and educational displays in national pavilions to showcase world issues or their country's culture and history.	De deltagende lande præsenterer både kunstneriske og uddannelsesmæssige udstillinger i deres nationale pavilloner for at vise landets syn på verdensproblemerne eller for at fremvise landets kultur og historie.	eng_Latn	dan_Latn	 Deltagende lande præsenterer kunstneriske og uddannelsesmæssige udstillinger i nationale pavilloner for at fremvise verdensproblemer eller deres lands kultur og historie.	Les pays participants présentent des expositions artistiques et éducatives dans des pavillons nationaux afin de mettre en valeur les enjeux mondiaux ou la culture et l'histoire de leur pays.	De deltagende lande præsenterer kunstneriske og uddannelsesmæssige udstillinger i nationale pavilloner for at fremhæve globale spørgsmål eller deres lands kultur og historie.
Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.	Stardust vil sætte en ny historisk rekord ved at være det hurtigste rumfartøj til at returnere til Jorden, hvorved det bryder den tidligere rekord, der blev sat i 1969, da Apollo X kommandomodulet returnerede.	eng_Latn	dan_Latn	 Stardust vil sætte en ny rekord for at være det hurtigste rumfartøj til at vende tilbage til Jorden, og derved slå den tidligere rekord, der blev sat i maj 1969 under hjemkomsten af Apollo X kommandomodulet.	Stardust établira un nouveau record de tous les temps pour être le vaisseau spatial le plus rapide à revenir sur Terre, brisant le record précédent établi en mai 1969 lors du retour du module de commande Apollo X.	Stardust vil sætte en ny rekord som det hurtigste rumfartøj, der vender tilbage til Jorden, og bryde den tidligere rekord, der blev sat i maj 1969 ved Apollo X's kommandomoduls tilbagevenden.
Similarly, a British traveller in Spain may mistake a wave goodbye involving the palm facing the waver (rather than the person being waved at) as a gesture to come back.	På samme måde vil en britisk turist i Spanien måske misforstå et afskedsvink med håndfladen rettet mod personen, som vinker, (i stedet for den person som vinkes til) som et tegn på, at de skal komme tilbage.	eng_Latn	dan_Latn	 På samme måde kan en britisk rejsende i Spanien forveksle et vink med hånden vendt mod den vinkende (i stedet for den person, der bliver vinket til) som en gestus til at komme tilbage.	De même, un voyageur britannique en Espagne peut se tromper une vague d'adieu impliquant la paume face à l'ondeur (plutôt que la personne qui est agitée) comme un geste pour revenir.	På samme måde kan en britisk rejsende i Spanien fejlagtigt opfatte en afskedsvinkning, hvor håndfladen vender mod den, der vinker (i stedet for personen, der vinker), som en gestus for at vende tilbage.
Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get.	Vikingerne brugte de russiske vandveje til at komme til Sortehavet og det Kaspiske Hav. Dele af disse ruter kan stadig bruges. Undersøg om der er behov for særlige tilladelser, som kan være vanskelige at få.	eng_Latn	dan_Latn	 Vikingerne brugte de russiske vandveje til at komme til Sortehavet og Det Kaspiske Hav. Dele af disse ruter kan stadig bruges. Undersøg om der er behov for særlige tilladelser, som kan være svære at få.	Les Vikings ont utilisé les voies navigables russes pour se rendre à la mer Noire et à la mer Caspienne. Certaines parties de ces routes peuvent encore être utilisées.	Vikingerne brugte de russiske vandveje for at nå Sortehavet og Det Kaspiske Hav. Nogle dele af disse ruter kan stadig bruges.
